PTNUM,DyadID,mth,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,UsrID
8090,0,0,4,6,4,6,5,6,2,6,3,7,6,4,2,5,5,4,4,5,5,5,3,3,4,7,7,4,5,5,4,4,4,4,5,4,4,4,80900
8090,1,0,5,2,7,6,7,2,1,1,1,1,6,2,2,1,7,4,6,2,7,1,1,NA,3,6,7,2,5,2,2,2,6,1,6,1,6,4,80901
8091,0,0,3,3,5,6,6,5,1,5,5,5,6,1,1,5,3,1,6,5,6,5,4,5,1,5,6,1,5,1,4,1,5,1,7,2,7,5,80910
8091,0,3,5,5,6,5,5,5,4,5,3,4,3,2,3,5,5,2,5,2,6,5,3,6,2,4,5,3,5,3,6,2,5,1,6,2,6,4,80910
8091,0,6,1,6,7,5,7,4,1,2,1,1,7,1,1,2,7,1,6,2,7,2,2,6,1,2,7,1,7,1,7,1,7,1,7,1,7,1,80910
8091,0,9,3,6,7,4,6,3,2,2,2,2,6,1,1,1,7,1,7,1,7,3,2,7,1,1,7,1,7,1,7,1,7,1,7,1,7,1,80910
8091,0,12,1,7,7,2,7,2,1,2,1,2,7,1,1,1,7,1,6,1,7,2,2,7,1,2,7,1,7,2,6,1,7,1,7,1,7,2,80910
8091,1,0,2,4,7,4,6,4,1,4,2,4,6,3,1,4,6,2,4,2,5,4,3,5,1,5,7,2,6,1,5,2,7,1,7,1,5,3,80911
8091,1,3,5,4,7,2,7,5,1,5,2,5,7,5,2,5,6,2,5,3,6,5,2,3,2,6,6,2,6,4,6,1,6,2,6,2,6,2,80911
8091,1,6,1,5,7,3,7,3,2,3,1,4,6,3,2,5,6,1,5,3,6,2,3,4,2,1,6,1,7,3,5,1,7,1,6,1,6,2,80911
8091,1,9,2,3,7,4,7,2,1,3,1,3,7,2,1,3,6,2,5,3,7,3,2,3,1,3,6,2,6,1,6,2,6,2,6,2,6,3,80911
8091,1,12,1,5,7,2,7,2,1,3,1,2,7,1,1,2,7,1,6,1,7,2,2,5,1,3,7,1,7,1,6,1,7,1,7,1,6,3,80911
8092,0,0,4,4,6,1,4,1,2,1,4,4,4,5,4,1,7,1,1,2,4,2,1,4,4,3,7,2,6,1,4,2,6,1,6,3,6,2,80920
8092,0,3,1,4,6,4,7,2,4,1,4,1,4,1,1,1,7,2,1,1,4,1,4,1,1,2,7,1,7,1,4,1,6,1,5,1,7,4,80920
8092,0,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80920
8092,0,9,2,4,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,7,3,3,3,3,4,80920
8092,0,12,4,4,7,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80920
8092,1,0,2,1,6,2,6,2,6,1,2,7,7,1,1,1,1,1,6,1,7,1,1,7,1,1,1,1,7,1,7,1,7,1,7,1,7,1,80921
8092,1,3,4,1,7,4,7,3,4,1,1,7,6,4,1,1,1,1,1,1,4,1,1,7,1,1,4,2,6,2,7,4,6,1,6,5,7,4,80921
8092,1,6,4,4,7,2,7,4,1,1,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,1,7,1,80921
8092,1,9,4,2,1,2,7,2,2,2,2,2,7,2,2,2,2,2,2,1,7,2,2,2,1,1,6,2,2,2,2,2,6,2,7,2,7,2,80921
8092,1,12,4,4,5,4,4,4,4,4,4,4,4,6,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80921
8093,0,0,4,2,4,4,4,5,3,5,4,5,4,4,4,6,5,2,4,5,5,5,4,2,4,2,7,4,6,2,4,4,7,2,5,7,6,7,80930
8093,0,3,5,3,3,3,3,4,5,5,4,4,3,3,5,5,4,3,3,4,3,5,5,3,5,3,5,3,5,4,3,4,4,3,4,4,4,5,80930
8093,0,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,5,7,4,6,1,4,4,6,4,6,5,4,5,80930
8093,0,9,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,3,4,3,5,3,6,4,4,5,80930
